COD,HA
1,4.359999999999999
2,2.21
3,20.91
4,17.82
5,6.7
6,32.36
7,9.99
8,10.93
9,5.0
10,4.91
11,2.21
12,27.28
13,3.63
14,30.46
15,4.52
16,5.29
17,8.879999999999999
18,30.1
19,5.68
20,4.82
21,4.85
22,2.21
23,2.21
24,2.21
25,3.94
26,2.7800000000000002
27,4.3100000000000005
28,2.54
29,3.89
30,18.89
31,8.25
32,5.32
33,6.64
34,2.91
35,4.79
36,2.95
37,9.09
38,8.76
39,9.83
40,2.3200000000000003
41,3.53
42,3.89
43,3.87
44,5.15
45,10.85
46,3.17
47,7.79
48,2.3200000000000003
49,2.3200000000000003
50,3.8
51,6.54
52,2.3200000000000003
53,3.93
54,4.68
55,3.27
56,4.27
57,42.82
58,7.39
59,5.62
60,4.12
61,3.3
62,2.54
63,2.21
64,2.21
65,6.47
66,2.67
67,10.04
68,9.83
69,2.9
70,15.28
71,3.42
72,19.53
73,8.370000000000001
74,8.620000000000001
75,5.98
76,3.12
77,2.44
78,2.21
79,6.77
80,2.4299999999999997
81,10.61
82,7.09
83,2.99
84,2.4299999999999997
85,5.91
86,4.35
87,63.58
88,3.32
89,2.8
90,2.66
91,10.28
92,5.33
93,3.14
94,2.3200000000000003
95,6.66
96,2.55
97,16.009999999999998
98,87.42
99,7.79
100,2.21
101,3.73
102,2.4299999999999997
103,4.93
104,7.39
105,8.030000000000001
106,5.62
107,4.68
108,2.96
109,41.45
110,3.17
111,3.73
112,5.39
113,6.93
114,5.2
115,23.85
116,3.47
117,2.66
118,2.21
119,7.3
120,17.11
121,5.84
122,2.21
123,3.43
124,3.39
125,2.44
126,4.08
127,16.5
128,183.3
129,62.94
130,3.86
131,27.42
132,4.45
133,3.57
134,4.83
135,19.34
136,114.6
137,4.49
138,22.57
139,5.91
140,3.38
141,7.05
142,19.5
143,2.21
144,5.05
145,4.01
146,7.31
147,2.21
148,3.8
149,2.99
